Estacao	Data	Hora	Precipitacao
82191	01/09/1969	1200	1,2
82191	02/09/1969	1200	3
82191	03/09/1969	1200	0
82191	04/09/1969	1200	12,6
82191	05/09/1969	1200	0
82191	06/09/1969	1200	0
82191	07/09/1969	1200	0
82191	08/09/1969	1200	2
82191	09/09/1969	1200	0
82191	10/09/1969	1200	0
82191	11/09/1969	1200	1
82191	12/09/1969	1200	0
82191	13/09/1969	1200	13,4
82191	14/09/1969	1200	0,4
82191	15/09/1969	1200	16,8
82191	16/09/1969	1200	0,6
82191	17/09/1969	1200	0
82191	18/09/1969	1200	6,2
82191	19/09/1969	1200	1,4
82191	20/09/1969	1200	0
82191	21/09/1969	1200	0
82191	22/09/1969	1200	3
82191	23/09/1969	1200	2,8
82191	24/09/1969	1200	0,2
82191	25/09/1969	1200	0
82191	26/09/1969	1200	25,4
82191	27/09/1969	1200	0
82191	28/09/1969	1200	0
82191	29/09/1969	1200	0
82191	30/09/1969	1200	13
82191	01/10/1969	1200	3,6
82191	02/10/1969	1200	0
82191	03/10/1969	1200	0
82191	04/10/1969	1200	0
82191	05/10/1969	1200	0
82191	06/10/1969	1200	0
82191	07/10/1969	1200	0
82191	08/10/1969	1200	0
82191	09/10/1969	1200	0
82191	10/10/1969	1200	2,4
82191	11/10/1969	1200	0
82191	12/10/1969	1200	10,2
82191	13/10/1969	1200	0
82191	14/10/1969	1200	0
82191	15/10/1969	1200	0
82191	16/10/1969	1200	0
82191	17/10/1969	1200	0,6
82191	18/10/1969	1200	0,4
82191	19/10/1969	1200	4,4
82191	20/10/1969	1200	0
82191	21/10/1969	1200	1
82191	22/10/1969	1200	2,4
82191	23/10/1969	1200	0
82191	24/10/1969	1200	0,8
82191	25/10/1969	1200	0
82191	26/10/1969	1200	0
82191	27/10/1969	1200	0,4
82191	28/10/1969	1200	0
82191	29/10/1969	1200	0
82191	30/10/1969	1200	0
82191	31/10/1969	1200	0
82191	01/11/1969	1200	11,6
82191	02/11/1969	1200	0
82191	03/11/1969	1200	23,6
82191	04/11/1969	1200	0
82191	05/11/1969	1200	0
82191	06/11/1969	1200	0
82191	07/11/1969	1200	0
82191	08/11/1969	1200	0
82191	09/11/1969	1200	0,8
82191	10/11/1969	1200	0
82191	11/11/1969	1200	0,2
82191	12/11/1969	1200	0,4
82191	13/11/1969	1200	13
82191	14/11/1969	1200	0
82191	15/11/1969	1200	16
82191	16/11/1969	1200	0
82191	17/11/1969	1200	0
82191	18/11/1969	1200	4,4
82191	19/11/1969	1200	0
82191	20/11/1969	1200	0
82191	21/11/1969	1200	0
82191	22/11/1969	1200	1
82191	23/11/1969	1200	0
82191	24/11/1969	1200	0
82191	25/11/1969	1200	0
82191	26/11/1969	1200	0
82191	27/11/1969	1200	0
82191	28/11/1969	1200	1
82191	29/11/1969	1200	0
